2025-04-06 19:50:15 - Player: 2, Computer: 19, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 20, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 21, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 22, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 23, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 24, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 25, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 26, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 27, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 28, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 29, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 30, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 31, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 32, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 33, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:15 - Player: 2, Computer: 34, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 35, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 36, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 37, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 38, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 39, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 40, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 41, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 42, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 43, Winner: computer, User: Nguyen15idhue
2025-04-06 19:50:16 - Player: 2, Computer: 44, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 45, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 46, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 47, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 48, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 49, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 50, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 51, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 52, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 53, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 54, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:26 - Player: 2, Computer: 55, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 56, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 57, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 58, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 59, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 60, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 61, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 62, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 63, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 64, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:27 - Player: 2, Computer: 65, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:28 - Player: 2, Computer: 66, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:54 - Player: 0, Computer: 5, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:55 - Player: 0, Computer: 6, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:56 - Player: 0, Computer: 7, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:57 - Player: 0, Computer: 8, Winner: computer, User: Nguyen15idhue
2025-04-06 19:54:58 - Player: 0, Computer: 9, Winner: computer, User: Nguyen15idhue
2025-04-06 19:58:42 - Player: 5, Computer: 9, Winner: player, User: Nguyen15idhue
